"date","geography","geography code","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"2011","Stevenage","E07000243","Total",83957,49707,45705,442,996,147,1654,303,460,28606,5644
"2011","Three Rivers","E07000102","Total",87317,61250,52330,345,3963,1611,1947,464,590,19933,6134
"2011","Watford","E07000103","Total",90301,64881,48891,659,4348,1023,8905,566,489,19330,6090
"2011","Welwyn Hatfield","E07000241","Total",110535,71871,63599,899,2775,889,2810,376,523,30806,7858
"2011","Breckland","E07000143","Total",130491,84884,83252,277,139,141,409,63,603,35977,9630
"2011","Broadland","E07000144","Total",124646,80606,78938,342,252,117,377,72,508,34845,9195
"2011","Great Yarmouth","E07000145","Total",97277,60835,59383,237,255,108,518,6,328,29430,7012
"2011","King's Lynn and West Norfolk","E07000146","Total",147451,99949,97868,417,346,127,544,82,565,36533,10969
"2011","North Norfolk","E07000147","Total",101499,68162,66973,286,51,123,158,21,550,25586,7751
"2011","Norwich","E07000148","Total",132512,65417,59515,978,1017,241,2612,168,886,56268,10827
"2011","South Norfolk","E07000149","Total",124012,78904,77234,364,235,126,403,49,493,35601,9507
"2011","Babergh","E07000200","Total",87740,56398,55465,214,85,116,196,11,311,24914,6428
"2011","Forest Heath","E07000201","Total",59748,39334,38228,190,157,81,364,40,274,15897,4517
"2011","Ipswich","E07000202","Total",133384,77048,70797,495,1102,83,3577,343,651,46687,9649
"2011","Mid Suffolk","E07000203","Total",96731,62564,61670,209,105,78,152,17,333,26652,7515
"2011","St Edmundsbury","E07000204","Total",111008,70839,69136,313,259,118,602,61,350,32111,8058
"2011","Suffolk Coastal","E07000205","Total",124298,80502,78400,367,437,138,539,121,500,34348,9448
"2011","Waveney","E07000206","Total",115254,71370,69936,306,129,63,388,33,515,35312,8572
"2011","Camden","E09000007","Total",220338,118949,74821,2789,3141,9823,26643,465,1267,56113,45276
"2011","City of London","E09000001","Total",7375,4202,3344,92,145,166,409,18,28,2522,651
"2011","Hackney","E09000012","Total",246270,153170,95131,3075,1577,15477,34727,1872,1311,69454,23646
"2011","Hammersmith and Fulham","E09000013","Total",182493,123667,98808,2060,2097,1161,18242,442,857,43487,15339
"2011","Haringey","E09000014","Total",254926,167911,114659,2829,4539,7643,36130,808,1303,64202,22813
"2011","Islington","E09000019","Total",206125,110076,82879,2117,2108,1915,19521,569,967,61911,34138
"2011","Kensington and Chelsea","E09000020","Total",158649,110011,86005,2447,1386,3320,15812,263,778,32669,15969
"2011","Lambeth","E09000022","Total",303086,191782,160944,2963,3119,1134,21500,440,1682,84803,26501
"2011","Lewisham","E09000023","Total",275885,176225,145588,3664,6562,643,17759,531,1478,75155,24505
"2011","Newham","E09000025","Total",307984,258836,123119,2446,26962,342,98456,6421,1090,29373,19775
"2011","Southwark","E09000028","Total",288283,186574,151462,3884,3668,1006,24551,653,1350,77098,24611
"2011","Tower Hamlets","E09000030","Total",254096,166359,68808,2726,4200,1283,87696,821,825,48648,39089
"2011","Wandsworth","E09000032","Total",306995,200138,162590,2574,6496,1617,24746,832,1283,82740,24117
"2011","Westminster","E09000033","Total",219396,154335,97877,3194,4178,7237,40073,496,1280,44542,20519
"2011","Barking and Dagenham","E09000002","Total",185911,138837,104101,842,4464,425,25520,2952,533,35106,11968
"2011","Barnet","E09000003","Total",356386,269172,146866,4521,21924,54084,36744,1269,3764,57297,29917
"2011","Bexley","E09000004","Total",231997,159776,144093,1377,3547,234,5645,4156,724,55995,16226
"2011","Brent","E09000005","Total",311215,256699,129080,4300,55449,4357,58036,1709,3768,33054,21462
"2011","Bromley","E09000006","Total",309392,204895,187656,1580,4987,957,7841,736,1138,80303,24194
"2011","Croydon","E09000008","Total",363378,262967,205022,2381,21739,709,29513,1450,2153,72654,27757
"2011","Ealing","E09000009","Total",338449,264292,148055,4228,28915,1131,53198,26778,1987,50848,23309
"2011","Enfield","E09000010","Total",312466,239749,167417,1824,10927,4412,52141,1078,1950,48522,24195
"2011","Greenwich","E09000011","Total",254557,170286,134632,4223,9087,492,17349,3490,1013,65034,19237
"2011","Harrow","E09000015","Total",239056,201404,89181,2700,60407,10538,29881,2752,5945,22871,14781
"2011","Havering","E09000016","Total",237232,167884,155597,760,2963,1159,4829,1928,648,53549,15799
"2011","Hillingdon","E09000017","Total",273936,209949,134813,2386,22033,1753,29065,18230,1669,46492,17495
"2011","Hounslow","E09000018","Total",253957,197144,106660,3617,26261,651,35666,22749,1540,40351,16462
"2011","Kingston upon Thames","E09000021","Total",160060,106244,84684,1771,7502,775,9474,1236,802,41183,12633
"2011","Merton","E09000024","Total",199693,144441,111993,1884,12203,791,16262,498,810,41231,14021
"2011","Redbridge","E09000026","Total",278970,230231,102755,1840,31699,10213,64999,17377,1348,30691,18048
"2011","Richmond upon Thames","E09000027","Total",186990,117955,103319,1577,3051,1409,6128,1581,890,53195,15840
"2011","Sutton","E09000029","Total",190146,129825,111086,1368,8038,486,7726,325,796,46817,13504
"2011","Waltham Forest","E09000031","Total",258249,192845,124939,1987,5917,1259,56541,1209,993,46462,18942
"2011","Bracknell Forest","E06000036","Total",113205,73570,68524,825,1824,176,1276,455,490,32184,7451
"2011","Brighton and Hove","E06000043","Total",273369,133326,117276,2742,1792,2670,6095,342,2409,115954,24089
"2011","Isle of Wight","E06000046","Total",138265,86040,83671,459,312,124,524,45,905,40950,11275
"2011","Medway","E06000035","Total",263925,166945,152637,937,2756,208,5169,3846,1392,78995,17985
"2011","Milton Keynes","E06000042","Total",248821,154444,131352,1246,6918,427,11913,1372,1216,77939,16438
"2011","Portsmouth","E06000044","Total",205056,118358,106999,1162,1282,235,7162,468,1050,71826,14872
"2011","Reading","E06000038","Total",155698,98395,77848,1876,5661,355,11007,947,701,45931,11372
"2011","Slough","E06000039","Total",140205,115225,57726,743,8643,87,32655,14889,482,17024,7956
"2011","Southampton","E06000045","Total",236882,140793,122018,1331,2482,254,9903,3476,1329,79379,16710
"2011","West Berkshire","E06000037","Total",153822,101770,97896,495,1106,212,1218,236,607,41042,11010
"2011","Windsor and Maidenhead","E06000040","Total",144560,103104,90051,780,2660,475,5684,2941,513,31353,10103
"2011","Wokingham","E06000041","Total",154380,103017,91905,572,3183,508,4352,2043,454,40143,11220
"2011","Aylesbury Vale","E07000004","Total",174137,117369,107432,657,1350,321,6783,238,588,44520,12248
"2011","Chiltern","E07000005","Total",92635,63736,58553,327,1206,507,2311,489,343,21818,7081
"2011","South Bucks","E07000006","Total",66867,48977,41637,310,1685,289,1665,3163,228,13270,4620
"2011","Wycombe","E07000007","Total",171644,117925,98182,913,2003,394,15022,767,644,41582,12137
"2011","Eastbourne","E07000061","Total",99412,62451,59232,482,429,211,1458,53,586,28995,7966
"2011","Hastings","E07000062","Total",90254,49737,46832,475,423,142,1159,38,668,33066,7451
"2011","Lewes","E07000063","Total",97502,57841,55572,489,257,320,558,42,603,31641,8020
"2011","Rother","E07000064","Total",90588,60334,58706,290,171,170,460,12,525,22864,7390
"2011","Wealden","E07000065","Total",148915,97948,95317,454,221,231,566,33,1126,39157,11810
"2011","Basingstoke and Deane","E07000084","Total",167799,105951,100482,872,1994,172,1464,329,638,49770,12078
"2011","East Hampshire","E07000085","Total",115608,76558,74744,393,278,166,421,50,506,30380,8670
"2011","Eastleigh","E07000086","Total",125199,81080,77485,356,820,92,975,854,498,35639,8480
"2011","Fareham","E07000087","Total",111581,72919,71158,274,299,63,538,79,508,30578,8084
"2011","Gosport","E07000088","Total",82622,49957,48616,198,189,37,452,38,427,27114,5551
"2011","Hart","E07000089","Total",91033,61104,58817,466,720,101,509,199,292,23504,6425
"2011","Havant","E07000090","Total",120684,73249,71475,267,233,81,570,60,563,38925,8510
"2011","New Forest","E07000091","Total",176462,117362,115021,429,217,220,485,79,911,45374,13726
"2011","Rushmoor","E07000092","Total",93807,62491,54206,3092,3222,65,1356,183,367,24773,6543
"2011","Test Valley","E07000093","Total",116398,78951,76446,333,496,114,671,395,496,29195,8252
"2011","Winchester","E07000094","Total",116595,76099,73729,566,460,175,558,123,488,31808,8688
"2011","Ashford","E07000105","Total",117956,78000,74253,803,1282,116,1019,95,432,30984,8972
"2011","Canterbury","E07000106","Total",151145,96167,91122,880,1055,267,1838,245,760,43117,11861
"2011","Dartford","E07000107","Total",97365,64488,59045,382,1547,86,1566,1543,319,26486,6391
"2011","Dover","E07000108","Total",111674,73939,71541,523,682,97,521,50,525,29047,8688
"2011","Gravesham","E07000109","Total",101720,73463,61891,333,942,54,1894,7743,606,21862,6395
"2011","Maidstone","E07000110","Total",155143,102607,97578,901,1492,163,1685,176,612,41493,11043
"2011","Sevenoaks","E07000111","Total",114893,77245,75169,367,385,196,600,180,348,28939,8709
"2011","Folkestone and Hythe","E07000112","Total",107969,71223,67296,962,1551,78,796,34,506,28575,8171
"2011","Swale","E07000113","Total",135835,87720,85535,275,368,93,792,158,499,39087,9028
"2011","Thanet","E07000114","Total",134186,85864,82447,491,639,273,1230,94,690,38383,9939
"2011","Tonbridge and Malling","E07000115","Total",120805,79353,76920,441,539,122,750,169,412,32996,8456
"2011","Tunbridge Wells","E07000116","Total",115049,75275,72403,444,461,232,1241,58,436,30622,9152
"2011","Cherwell","E07000177","Total",141868,96063,90564,563,575,164,3196,438,563,36066,9739
"2011","Oxford","E07000178","Total",151906,89021,72924,1431,2044,1072,10320,434,796,50274,12611
"2011","South Oxfordshire","E07000179","Total",134257,87833,85292,467,472,281,710,106,505,36398,10026
"2011","Vale of White Horse","E07000180","Total",120988,79496,76589,462,566,196,1073,177,433,32505,8987
"2011","West Oxfordshire","E07000181","Total",104779,70163,68537,334,221,180,435,37,419,27101,7515
"2011","Elmbridge","E07000207","Total",130875,90419,83973,685,1593,795,2406,523,444,30606,9850
"2011","Epsom and Ewell","E07000208","Total",75102,51521,46222,480,1913,239,2277,125,265,18254,5327
"2011","Guildford","E07000209","Total",137183,88474,82621,842,1301,322,2713,206,469,38108,10601
"2011","Mole Valley","E07000210","Total",85375,57119,54926,330,564,212,669,85,333,21514,6742
"2011","Reigate and Banstead","E07000211","Total",137835,91439,85325,618,1880,294,2637,205,480,36262,10134
"2011","Runnymede","E07000212","Total",80510,55402,51037,505,1181,251,1556,551,321,19297,5811
"2011","Spelthorne","E07000213","Total",95598,67392,60954,420,2332,206,1808,1325,347,21511,6695
"2011","Surrey Heath","E07000214","Total",86144,59355,54646,736,1369,162,1607,483,352,20610,6179
"2011","Tandridge","E07000215","Total",82998,55799,53841,295,612,132,596,60,263,20976,6223
"2011","Waverley","E07000216","Total",121572,81581,79220,432,321,228,786,69,525,30745,9246
"2011","Woking","E07000217","Total",99198,68999,58345,676,1952,214,7323,151,338,22931,7268
"2011","Adur","E07000223","Total",61182,37386,35829,211,138,221,611,30,346,19162,4634
"2011","Arun","E07000224","Total",149518,100132,97618,425,306,243,806,45,689,37829,11557
"2011","Chichester","E07000225","Total",113794,77145,75248,492,276,163,419,31,516,27947,8702
"2011","Crawley","E07000226","Total",106597,72031,57782,401,4892,98,7681,729,448,27756,6810
"2011","Horsham","E07000227","Total",131301,85587,83316,420,355,199,673,92,532,35355,10359
"2011","Mid Sussex","E07000228","Total",139860,91545,87757,508,855,283,1130,88,924,37218,11097
"2011","Worthing","E07000229","Total",104640,64326,60817,600,546,227,1348,122,666,31577,8737
"2011","Bath and North East Somerset","E06000022","Total",176016,103452,99468,941,535,254,1179,140,935,57626,14938
"2011","Bournemouth","E06000028","Total",183491,113314,104828,1215,1292,1343,3264,156,1216,55911,14266
"2011","Bristol, City of","E06000023","Total",428234,233234,200254,2549,2712,777,22016,2133,2793,160218,34782
"2011","Cornwall","E06000052","Total",532273,325597,318357,1726,556,389,855,105,3609,161320,45356
"2011","Isles of Scilly","E06000053","Total",2203,1247,1218,9,1,4,3,0,12,742,214
"2011","North Somerset","E06000024","Total",202566,126499,123545,554,340,157,869,95,939,60867,15200
"2011","Plymouth","E06000026","Total",256384,153898,148917,881,567,168,2078,89,1198,84295,18191
"2011","Poole","E06000029","Total",147645,92527,89243,538,511,404,1035,79,717,43922,11196
"2011","South Gloucestershire","E06000025","Total",262767,162725,156504,708,1681,145,2176,623,888,80607,19435
"2011","Swindon","E06000030","Total",209156,130071,120287,1209,2597,151,3538,1228,1061,64780,14305
"2011","Torbay","E06000027","Total",130959,84814,82924,389,128,109,521,41,702,36035,10110
"2011","Wiltshire","E06000054","Total",470981,309758,301651,1621,1308,384,2074,303,2417,125045,36178
"2011","East Devon","E07000040","Total",132457,88381,86934,351,55,142,229,13,657,33280,10796
"2011","Exeter","E07000041","Total",117773,67382,63486,683,372,155,1855,160,671,40862,9529
"2011","Mid Devon","E07000042","Total",77750,49122,48273,224,96,46,112,5,366,22122,6506
"2011","North Devon","E07000043","Total",93667,58673,57426,283,101,52,281,57,473,26983,8011
"2011","South Hams","E07000044","Total",83140,52654,51181,468,56,109,201,5,634,23068,7418
"2011","Teignbridge","E07000045","Total",124220,78841,77289,414,74,95,231,11,727,34939,10440
"2011","Torridge","E07000046","Total",63839,40845,40110,151,30,37,92,5,420,17537,5457
"2011","West Devon","E07000047","Total",53553,34724,34079,152,34,49,90,7,313,14254,4575
"2011","Christchurch","E07000048","Total",47752,32776,32057,157,51,96,146,5,264,11291,3685
"2011","East Dorset","E07000049","Total",87166,59381,58251,156,103,148,352,12,359,21103,6682
"2011","North Dorset","E07000050","Total",68583,46743,45631,262,221,92,186,10,341,16323,5517
"2011","Purbeck","E07000051","Total",44973,29679,29239,111,5,36,69,2,217,11642,3652
"2011","West Dorset","E07000052","Total",99264,66198,64793,334,121,86,257,13,594,24783,8283
"2011","Weymouth and Portland","E07000053","Total",65167,40945,39766,260,49,61,308,46,455,19079,5143
"2011","Cheltenham","E07000078","Total",115732,71306,67955,505,938,160,1087,147,514,35593,8833
"2011","Cotswold","E07000079","Total",82881,57862,56923,217,114,123,164,7,314,18979,6040
"2011","Forest of Dean","E07000080","Total",81961,54807,53912,200,57,46,94,57,441,20646,6508
"2011","Gloucester","E07000081","Total",121688,81488,75881,311,728,50,3885,134,499,31851,8349
"2011","Stroud","E07000082","Total",112779,71682,69921,366,122,107,238,40,888,31968,9129
"2011","Tewkesbury","E07000083","Total",81943,55662,54552,173,263,53,273,64,284,20459,5822
"2011","Mendip","E07000187","Total",109279,69895,67683,510,113,81,270,14,1224,29913,9471
"2011","Sedgemoor","E07000188","Total",114588,75410,74069,256,74,45,341,48,577,30399,8779
"2011","South Somerset","E07000189","Total",161243,108211,106336,376,135,124,417,15,808,40637,12395
"2011","Taunton Deane","E07000190","Total",110187,69994,68419,357,179,69,399,14,557,31436,8757
"2011","West Somerset","E07000191","Total",34675,23087,22704,113,5,18,43,9,195,8686,2902
"2011","Isle of Anglesey","W06000001","Total",69751,46200,45400,165,45,40,250,43,257,17797,5754
"2011","Gwynedd","W06000002","Total",121874,75276,72503,426,238,55,1378,39,637,36163,10435
"2011","Conwy","W06000003","Total",115228,76199,74506,347,206,62,583,17,478,30017,9012
"2011","Denbighshire","W06000004","Total",93734,61416,60129,266,167,32,469,8,345,25132,7186
"2011","Flintshire","W06000005","Total",152506,102743,101298,344,158,70,482,29,362,38726,11037
"2011","Wrexham","W06000006","Total",134844,87746,85576,351,504,58,860,87,310,36927,10171
"2011","Powys","W06000023","Total",132976,84173,82120,567,324,80,235,49,798,37050,11753
"2011","Ceredigion","W06000008","Total",75922,45890,43981,355,197,64,521,30,742,23329,6703
"2011","Pembrokeshire","W06000009","Total",122439,78973,77162,422,230,50,425,36,648,33442,10024
"2011","Carmarthenshire","W06000010","Total",183777,116082,113534,420,351,82,625,125,945,53036,14659
"2011","Swansea","W06000011","Total",239023,139981,131451,856,780,159,5415,278,1042,81219,17823
"2011","Neath Port Talbot","W06000012","Total",139812,82360,80646,312,144,39,573,113,533,47265,10187
"2011","Bridgend","W06000013","Total",139178,78355,76625,357,270,33,529,46,495,51062,9761
"2011","Vale of Glamorgan","W06000014","Total",126336,75487,73384,356,269,90,785,75,528,41556,9293
"2011","Cardiff","W06000015","Total",346090,211350,177743,1690,4736,802,23656,1317,1406,109960,24780
"2011","Rhondda Cynon Taff","W06000016","Total",234410,121508,118388,518,401,87,1061,183,870,95549,17353
"2011","Merthyr Tydfil","W06000024","Total",58802,33626,32948,124,80,4,197,52,221,21048,4128
"2011","Caerphilly","W06000018","Total",178806,92398,90669,278,174,69,391,152,665,73084,13324
"2011","Blaenau Gwent","W06000019","Total",69814,35468,34805,112,72,8,179,39,253,28676,5670
"2011","Torfaen","W06000020","Total",91075,51561,50472,222,241,16,238,56,316,32605,6909
"2011","Monmouthshire","W06000021","Total",91323,58274,57101,269,162,65,239,47,391,26018,7031
"2011","Newport","W06000022","Total",145736,91465,82858,360,685,99,6859,141,463,43336,10935
